ID,学历要求,工作经验,薪资
5677068,本科,1-3年,10k-20k
5298474,本科,1-3年,7k-14k
5659010,本科,3-5年,15k-30k
5753931,本科,3-5年,15k-25k
4309857,本科,3-5年,15k-25k
5695409,本科,1-3年,10k-15k
5778856,本科,不限,11k-22k
5461364,本科,5-10年,20k-30k
5659402,本科,3-5年,12k-24k
5364140,本科,3-5年,8k-15k
5613503,本科,不限,6k-8k
5775875,本科,3-5年,10k-20k
5145791,本科,3-5年,13k-26k
4409025,本科,3-5年,10k-15k
5390760,本科,1-3年,6k-10k
5371833,本科,3-5年,20k-25k
5497405,本科,1-3年,8k-15k
5545140,本科,1-3年,15k-25k
5067015,硕士,1-3年,20k-40k
4341361,本科,1-3年,10k-20k
5265178,本科,3-5年,7k-12k
5757287,本科,1-3年,8k-15k
4916502,本科,1-3年,10k-15k
5729645,本科,3-5年,8k-15k
5756488,本科,5-10年,20k-40k
5295913,本科,不限,7k-14k
5440507,本科,1-3年,8k-15k
5639625,本科,1-3年,10k-20k
5765350,本科,1-3年,15k-18k
5744068,本科,3-5年,25k-50k
4362816,本科,3-5年,20k-30k
5435186,不限,5-10年,25k-50k
5482819,本科,3-5年,20k-40k
4928064,本科,5-10年,20k-40k
5673904,本科,3-5年,15k-25k
5537311,本科,3-5年,15k-25k
5768516,本科,1-3年,13k-20k
5762565,本科,3-5年,15k-25k
5440536,本科,1年以下,4k-8k
5551865,本科,1-3年,10k-20k
2783123,本科,1-3年,15k-30k
5651970,不限,不限,15k-30k
5728017,本科,3-5年,15k-30k
5468143,大专,3-5年,15k-25k
5435764,本科,3-5年,20k-30k
5338478,本科,3-5年,15k-25k
5115494,本科,3-5年,15k-25k
5753844,本科,5-10年,20k-40k
5403705,本科,应届毕业生,2k-3k
5727675,本科,3-5年,18k-30k
5689676,本科,3-5年,20k-35k
5710895,本科,3-5年,15k-30k
5349225,本科,3-5年,25k-50k
5280822,本科,不限,2k-3k
5624879,本科,3-5年,10k-20k
5599070,本科,3-5年,25k-35k
5757244,本科,5-10年,14k-18k
5482800,本科,1-3年,20k-40k
5777273,本科,5-10年,20k-40k
5760182,本科,3-5年,15k-25k
5754130,本科,3-5年,15k-30k
4216714,本科,不限,10k-20k
4722766,本科,3-5年,20k-30k
5016213,本科,3-5年,10k-20k
5771866,不限,不限,25k-50k
5714853,硕士,3-5年,18k-25k
5372735,本科,3-5年,15k-30k
5664436,硕士,3-5年,15k-25k
4948922,本科,不限,2k-4k
5719785,本科,5-10年,15k-25k
5737120,本科,5-10年,40k-60k
5714927,硕士,3-5年,18k-25k
5417622,本科,1-3年,10k-20k
5391807,本科,5-10年,25k-45k
5742627,本科,5-10年,15k-25k
5681492,本科,5-10年,15k-25k
5628908,本科,5-10年,20k-25k
5693179,本科,5-10年,15k-25k
5710105,本科,3-5年,18k-25k
5778864,本科,3-5年,19k-25k
4527223,本科,3-5年,15k-30k
5773235,本科,3-5年,25k-35k
5749515,本科,不限,5k-8k
